x,y
174,13
18,138
156,112
177,59
170,90
167,17
45,81
41,99
36,38
56,14
99,79
6,131
159,169
179,27
136,157
80,95
33,87
85,8
62,137
32,16
126,16
95,200
88,112
119,88
33,6
195,27
186,93
98,40
177,9
193,13
4,190
10,136
17,15
2,0
85,179
89,150
187,141
24,147
47,100
170,40
1,128
153,32
47,108
23,137
35,47
27,172
198,151
133,191
28,88
75,89
144,112
114,176
190,21
189,174
123,183
2,159
11,129
78,180
110,25
53,129
59,33
133,35
140,5
23,69
117,27
81,9
0,120
116,180
11,78
48,28
199,153
29,34
2,173
84,24
65,35
153,72
151,180
136,176
76,66
15,95
46,167
175,32
176,170
42,77
6,77
61,81
178,141
153,99
76,165
174,112
155,61
146,1
72,128
163,9
55,158
193,161
86,29
181,82
125,197
15,12
0,174
24,159
191,37
137,125
134,123
168,95
119,77
38,89
50,72
126,58
86,9
184,18
37,72
175,13
47,163
194,86
154,194
196,84
199,195
194,159
44,110
61,124
12,33
79,70
23,51
98,85
101,136
128,5
8,102
48,198
49,43
194,179
94,49
186,12
125,28
91,116
89,169
3,190
172,154
5,91
59,41
10,98
3,137
99,6
117,25
23,36
156,80
163,44
172,27
180,24
186,112
151,17
193,44
99,152
23,77
136,181
79,33
124,192
20,49
173,157
156,170
4,9
22,158
81,183
159,159
134,7
169,14
2,68
82,200
167,161
173,61
88,114
82,64
56,174
31,59
59,21
24,150
192,102
111,17
160,146
185,14
102,103
49,34
196,107
17,136
121,76
49,75
89,131
185,127
194,202
34,176
104,5
100,105
170,48
142,21
155,67
79,114
170,32
20,195
108,5
54,65
20,168
127,170
123,35
56,132
74,116
93,6
58,97
185,9
198,73
58,138
136,111
188,172
189,13
44,39
159,56
121,80
19,82
38,128
191,70
29,85
174,22
43,68
172,38
107,165
197,39
176,90
7,35
118,70
84,188
136,16
112,91
16,8
155,107
26,53
22,182
72,191
49,182
163,41
173,148
152,19
74,8
192,78
137,5
25,46
51,4
157,153
41,139
136,161
151,63
128,24
154,182
75,74
71,93
192,104
154,141
184,156
26,6
53,57
170,10
47,67
33,9
56,173
15,56
74,19
165,128
46,45
23,167
116,142
172,140
100,14
121,75
109,132
73,163
196,22
93,7
149,49
140,48
45,172
189,95
193,24
139,9
116,184
135,80
17,173
42,182
23,93
27,166
16,92
67,8
17,180
173,162
13,13
126,146
39,146
28,186
194,195
98,168
117,201
54,189
184,75
75,117
196,6
126,161
13,64
131,85
146,39
73,67
141,68
17,195
179,192
149,39
52,69
80,50
74,123
115,82
82,192
59,174
160,179
51,89
9,183
127,21
174,138
195,43
177,129
150,158
10,72
34,28
3,96
119,162
187,173
144,113
121,151
109,76
172,82
192,51
63,11
70,102
113,141
31,155
195,129
126,119
21,164
163,102
197,44
33,35
21,52
50,42
144,156
42,145
34,147
40,13
187,0
189,85
40,34
186,157
124,83
197,153
13,87
47,141
65,21
10,116
20,202
25,40
172,92
189,63
39,20
6,136
46,168
75,195
79,5
144,191
60,41
54,149
132,87
15,36
38,150
14,128
183,81
48,27
89,85
136,39
134,1
75,197
52,200
151,18
124,115
79,31
185,5
28,198
167,174
9,96
20,87
23,34
110,121
192,163
28,15
129,171
20,123
175,172
198,88
171,80
53,200
173,143
153,62
51,134
137,53
120,178
155,6
159,199
46,39
193,176
148,17
34,73
83,78
0,138
95,146
161,42
13,130
130,55
17,148
26,194
151,19
46,177
33,27
136,70
9,126
78,97
21,88
23,131
98,195
130,67
199,46
73,183
33,80
187,40
5,84
73,1
126,72
137,166
136,14
62,89
170,121
9,122
37,29
82,25
150,69
134,68
173,136
67,73
78,192
99,173
62,199
154,36
25,188
36,33
29,58
110,13
78,15
56,74
43,202
76,197
69,190
10,163
56,28
33,31
19,42
181,191
108,132
15,180
129,115
138,89
134,181
98,81
27,117
4,186
110,181
49,12
139,58
77,149
120,126
85,67
162,106
22,89
63,129
82,20
19,28
74,14
27,151
128,23
91,10
61,7
16,101
26,197
57,163
189,109
27,158
82,150
141,183
140,30
75,80
11,51
29,36
53,2
10,198
169,40
29,142
27,176
16,11
124,130
52,54
126,147
20,55
193,202
75,95
129,184
39,142
5,129
137,49
17,131
133,69
7,191
43,101
72,145
86,120
62,58
63,162
165,115
61,72
18,200
166,183
11,70
125,103
120,13
106,148
106,67
26,121
142,75
119,143
76,62
4,110
136,115
82,6
38,138
197,158
167,175
54,5
119,6
8,143
136,171
102,99
179,188
78,67
144,169
134,84
31,154
115,113
38,121
32,65
116,57
85,141
143,98
90,34
0,15
36,67
46,127
112,68
27,96
37,100
81,135
54,151
138,71
74,143
121,13
13,138
131,93
41,101
156,59
0,133
152,201
25,194
100,171
38,175
127,76
169,55
116,80
27,173
1,70
80,28
187,50
69,193
53,147
47,92
21,16
16,199
21,73
104,105
20,182
5,202
144,119
174,147
19,57
132,88
149,147
12,181
132,116
127,159
30,88
142,53
196,134
141,118
